Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
measles treatment,Measles,ProblemsDim
measles,Measles,ProblemsDim
bacterial meningitis,Meningitis,ProblemsDim
viral meningitis,Meningitis,ProblemsDim
fungal meningitis,Meningitis,ProblemsDim
aseptic meningitis,Meningitis,ProblemsDim
meningococcal meningitis,Meningitis,ProblemsDim
pneumococcal meningitis,Meningitis,ProblemsDim
meningitis,Meningitis,ProblemsDim
md,Meningococcal Disease,ProblemsDim
meningitis,Meningococcal Disease,ProblemsDim
neisseria meningitidis infection,Meningococcal Disease,ProblemsDim
bacterial meningitis,Meningococcal Disease,ProblemsDim
meningococcus infection,Meningococcal Disease,ProblemsDim
meningococcal disease,Meningococcal Disease,ProblemsDim
mmr vaccine,Mumps,ProblemsDim
parotitis,Mumps,ProblemsDim
paramyxovirus,Mumps,ProblemsDim
viral infection,Mumps,ProblemsDim
salivary gland swelling,Mumps,ProblemsDim
mumps,Mumps,ProblemsDim
oi,Opportunistic Infection,ProblemsDim
opportunistic pathogen infection,Opportunistic Infection,ProblemsDim
opi,Opportunistic Infection,ProblemsDim
infection by opportunistic pathogen,Opportunistic Infection,ProblemsDim
secondary infection,Opportunistic Infection,ProblemsDim
secondary pathogen infection,Opportunistic Infection,ProblemsDim
opportunistic infection,Opportunistic Infection,ProblemsDim
ois,Opportunistic Infections,ProblemsDim
opis,Opportunistic Infections,ProblemsDim
aids-related ois,Opportunistic Infections,ProblemsDim
hiv-associated ois,Opportunistic Infections,ProblemsDim
infections in immunocompromised patients,Opportunistic Infections,ProblemsDim
infections in aids/hiv patients,Opportunistic Infections,ProblemsDim
secondary infections,Opportunistic Infections,ProblemsDim
opportunistic infections,Opportunistic Infections,ProblemsDim
pneumatosis cystoides intestinalis,Pneumatosis Cystoides,ProblemsDim
pci,Pneumatosis Cystoides,ProblemsDim
pneumatosis cystoides lung,Pneumatosis Cystoides,ProblemsDim
pcl,Pneumatosis Cystoides,ProblemsDim
pneumatosis cystoides,Pneumatosis Cystoides,ProblemsDim
pneumocystis jirovecii,Pneumocystis,ProblemsDim
pcp (pneumocystis carinii pneumonia),Pneumocystis,ProblemsDim
pcp (pneumocystis carinii),Pneumocystis,ProblemsDim
pneumocystis pneumonia,Pneumocystis,ProblemsDim
pneumocystis,Pneumocystis,ProblemsDim
rabies virus,Rabies,ProblemsDim
rabies disease,Rabies,ProblemsDim
lyssavirus,Rabies,ProblemsDim
hydrophobia,Rabies,ProblemsDim
furious rabies,Rabies,ProblemsDim
dumb rabies,Rabies,ProblemsDim
rabies vaccine,Rabies,ProblemsDim
rabies immunoglobulin,Rabies,ProblemsDim
rabies,Rabies,ProblemsDim
asthma,Respiratory Disease,ProblemsDim
copd,Respiratory Disease,ProblemsDim
pneumonia,Respiratory Disease,ProblemsDim
bronchitis,Respiratory Disease,ProblemsDim
emphysema,Respiratory Disease,ProblemsDim
tuberculosis,Respiratory Disease,ProblemsDim
sars-cov-2,Respiratory Disease,ProblemsDim
influenza,Respiratory Disease,ProblemsDim
cystic fibrosis,Respiratory Disease,ProblemsDim
lung cancer,Respiratory Disease,ProblemsDim
chronic bronchitis,Respiratory Disease,ProblemsDim
acute bronchitis,Respiratory Disease,ProblemsDim
pulmonary fibrosis,Respiratory Disease,ProblemsDim
sleep apnea,Respiratory Disease,ProblemsDim
allergic rhinitis,Respiratory Disease,ProblemsDim
bronchiectasis,Respiratory Disease,ProblemsDim
lung infection,Respiratory Disease,ProblemsDim
respiratory failure,Respiratory Disease,ProblemsDim
interstitial lung disease,Respiratory Disease,ProblemsDim
respiratory disease,Respiratory Disease,ProblemsDim
german measles,Rubella,ProblemsDim
3 day measles,Rubella,ProblemsDim
rubeola,Rubella,ProblemsDim
rubella,Rubella,ProblemsDim
si,Sacroiliitis,ProblemsDim
sacral inflammation,Sacroiliitis,ProblemsDim
sacroiliac joint inflammation,Sacroiliitis,ProblemsDim
sijd,Sacroiliitis,ProblemsDim
sacroiliac joint dysfunction,Sacroiliitis,ProblemsDim
sacroiliitis,Sacroiliitis,ProblemsDim
sc,Sarcoidosis,ProblemsDim
sarcoid,Sarcoidosis,ProblemsDim
sarcoidosis disease,Sarcoidosis,ProblemsDim
sd,Sarcoidosis,ProblemsDim
sarcoidosis,Sarcoidosis,ProblemsDim
systemic inflammatory response syndrome (sirs),Sepsis,ProblemsDim
septic shock,Sepsis,ProblemsDim
bacteremia,Sepsis,ProblemsDim
septicaemia,Sepsis,ProblemsDim
systemic infection,Sepsis,ProblemsDim
infectious disease,Sepsis,ProblemsDim
sepsis-3 criteria,Sepsis,ProblemsDim
sepsis,Sepsis,ProblemsDim
bloodstream infection,"Septicemia, Sepsis, Sris",ProblemsDim
systemic inflammatory response syndrome,"Septicemia, Sepsis, Sris",ProblemsDim
severe sepsis,"Septicemia, Sepsis, Sris",ProblemsDim
septic shock,"Septicemia, Sepsis, Sris",ProblemsDim
systemic infection,"Septicemia, Sepsis, Sris",ProblemsDim
bacteremia,"Septicemia, Sepsis, Sris",ProblemsDim
sepsis-3,"Septicemia, Sepsis, Sris",ProblemsDim
"septicemia, sepsis, sris","Septicemia, Sepsis, Sris",ProblemsDim
sti,Sexual Transmitted Infection,ProblemsDim
sexually transmitted disease,Sexual Transmitted Infection,ProblemsDim
venereal disease,Sexual Transmitted Infection,ProblemsDim
genital infection,Sexual Transmitted Infection,ProblemsDim
sexually transmitted illness,Sexual Transmitted Infection,ProblemsDim
sexual transmitted infection,Sexual Transmitted Infection,ProblemsDim
genital warts,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
hpv infection,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
std,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
genital herpes,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
chlamydia,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
gonorrhea,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
syphilis,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
hiv,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
hpv-related cancer,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
cervical cancer,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
anal cancer,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
penile cancer,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
throat cancer,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
vaginal cancer,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
sexually transmitted infection (sti) /papillomavirus infection,Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
herpes zoster,Shingles,ProblemsDim
varicella-zoster virus infection,Shingles,ProblemsDim
vzv reactivation,Shingles,ProblemsDim
postherpetic neuralgia,Shingles,ProblemsDim
zoster,Shingles,ProblemsDim
hz,Shingles,ProblemsDim
shingles rash,Shingles,ProblemsDim
shingles,Shingles,ProblemsDim
syphilis (disease),Syphilis,ProblemsDim
treponema pallidum (bacteria causing syphilis),Syphilis,ProblemsDim
sti (sexually transmitted infection - syphilis is a type of sti),Syphilis,ProblemsDim
venereal disease (vd - syphilis is a type of vd),Syphilis,ProblemsDim
primary syphilis,Syphilis,ProblemsDim
secondary syphilis,Syphilis,ProblemsDim
tertiary syphilis,Syphilis,ProblemsDim
latent syphilis,Syphilis,ProblemsDim
neurosyphilis,Syphilis,ProblemsDim
cardiovascular syphilis,Syphilis,ProblemsDim
ocular syphilis,Syphilis,ProblemsDim
syphilis,Syphilis,ProblemsDim
typhoid fever,Typhoid,ProblemsDim
salmonella typhi,Typhoid,ProblemsDim
enteric fever,Typhoid,ProblemsDim
typhus,Typhoid,ProblemsDim
typhoidal fever,Typhoid,ProblemsDim
s. typhi infection,Typhoid,ProblemsDim
salmonella enterica serovar typhi,Typhoid,ProblemsDim
typhoid,Typhoid,ProblemsDim
vzv,Varicella-Zoster Infection,ProblemsDim
chickenpox,Varicella-Zoster Infection,ProblemsDim
shingles,Varicella-Zoster Infection,ProblemsDim
herpes zoster,Varicella-Zoster Infection,ProblemsDim
varicella herpes zoster virus,Varicella-Zoster Infection,ProblemsDim
vhzv,Varicella-Zoster Infection,ProblemsDim
human alphaherpesvirus 3,Varicella-Zoster Infection,ProblemsDim
varicella-zoster infection,Varicella-Zoster Infection,ProblemsDim
vzv,Varicella-Zoster Virus (Vzv),ProblemsDim
chickenpox virus,Varicella-Zoster Virus (Vzv),ProblemsDim
shingles virus,Varicella-Zoster Virus (Vzv),ProblemsDim
herpes zoster virus,Varicella-Zoster Virus (Vzv),ProblemsDim
varicella-zoster virus (vzv),Varicella-Zoster Virus (Vzv),ProblemsDim
vzv infection,Varicella-Zoster Virus Infection,ProblemsDim
chickenpox,Varicella-Zoster Virus Infection,ProblemsDim
shingles,Varicella-Zoster Virus Infection,ProblemsDim
herpes zoster,Varicella-Zoster Virus Infection,ProblemsDim
human herpesvirus 3,Varicella-Zoster Virus Infection,ProblemsDim
vzv reactivation,Varicella-Zoster Virus Infection,ProblemsDim
postherpetic neuralgia,Varicella-Zoster Virus Infection,ProblemsDim
varicella-zoster virus infection,Varicella-Zoster Virus Infection,ProblemsDim
vd,Viral Disease,ProblemsDim
viral infection,Viral Disease,ProblemsDim
vi,Viral Disease,ProblemsDim
viral illness,Viral Disease,ProblemsDim
vi,Viral Disease,ProblemsDim
viral disease,Viral Disease,ProblemsDim
vm,Viral Meningitis,ProblemsDim
viral menigitis,Viral Meningitis,ProblemsDim
acute viral meningitis,Viral Meningitis,ProblemsDim
avm,Viral Meningitis,ProblemsDim
viral acute meningitis,Viral Meningitis,ProblemsDim
aseptic meningitis,Viral Meningitis,ProblemsDim
viral aseptic meningitis,Viral Meningitis,ProblemsDim
viral meningitis,Viral Meningitis,ProblemsDim
surgical site infection,Wound Infection,ProblemsDim
infected wound,Wound Infection,ProblemsDim
wound inflammation,Wound Infection,ProblemsDim
necrotizing fasciitis,Wound Infection,ProblemsDim
cellulitis,Wound Infection,ProblemsDim
pyoderma gangrenosum,Wound Infection,ProblemsDim
fournier's gangrene,Wound Infection,ProblemsDim
wound infection,Wound Infection,ProblemsDim
apl,Accidental Puncture Laceration,ProblemsDim
puncture wound,Accidental Puncture Laceration,ProblemsDim
laceration due to accident,Accidental Puncture Laceration,ProblemsDim
accidental wound,Accidental Puncture Laceration,ProblemsDim
injury by sharp object,Accidental Puncture Laceration,ProblemsDim
accidental puncture laceration,Accidental Puncture Laceration,ProblemsDim
ct scan (computed tomography),Chest Trauma,ProblemsDim
x-ray (radiography),Chest Trauma,ProblemsDim
ecg (electrocardiogram),Chest Trauma,ProblemsDim
pneumothorax,Chest Trauma,ProblemsDim
rib fracture,Chest Trauma,ProblemsDim
hemothorax,Chest Trauma,ProblemsDim
cardiac contusion,Chest Trauma,ProblemsDim
sternum fracture,Chest Trauma,ProblemsDim
thoracotomy,Chest Trauma,ProblemsDim
intubation,Chest Trauma,ProblemsDim
tracheostomy,Chest Trauma,ProblemsDim
chest tube insertion,Chest Trauma,ProblemsDim
respiratory failure,Chest Trauma,ProblemsDim
pulmonary contusion,Chest Trauma,ProblemsDim
chest trauma,Chest Trauma,ProblemsDim
fracture from falling,Falling Injury,ProblemsDim
fall-related injury,Falling Injury,ProblemsDim
injuries due to falling,Falling Injury,ProblemsDim
trauma from falling,Falling Injury,ProblemsDim
falls-related trauma,Falling Injury,ProblemsDim
falling injury,Falling Injury,ProblemsDim
hic,Head Injury,ProblemsDim
tbi,Head Injury,ProblemsDim
ci,Head Injury,ProblemsDim
sdh,Head Injury,ProblemsDim
edh,Head Injury,ProblemsDim
concussion,Head Injury,ProblemsDim
skull fracture,Head Injury,ProblemsDim
contusion,Head Injury,ProblemsDim
hematoma,Head Injury,ProblemsDim
brain hemorrhage,Head Injury,ProblemsDim
subdural hematoma,Head Injury,ProblemsDim
epidural hematoma,Head Injury,ProblemsDim
intracranial hemorrhage,Head Injury,ProblemsDim
traumatic brain injury,Head Injury,ProblemsDim
head trauma,Head Injury,ProblemsDim
head injury,Head Injury,ProblemsDim
mbht,Minor Blunt Head Trauma,ProblemsDim
mild head injury,Minor Blunt Head Trauma,ProblemsDim
concussion,Minor Blunt Head Trauma,ProblemsDim
cerebral contusion,Minor Blunt Head Trauma,ProblemsDim
scalp laceration,Minor Blunt Head Trauma,ProblemsDim
skull fracture (mild),Minor Blunt Head Trauma,ProblemsDim
brain hemorrhage (minor),Minor Blunt Head Trauma,ProblemsDim
post-concussive syndrome,Minor Blunt Head Trauma,ProblemsDim
minor blunt head trauma,Minor Blunt Head Trauma,ProblemsDim
toxicology,Poisoning,ProblemsDim
intoxication,Poisoning,ProblemsDim
overdose,Poisoning,ProblemsDim
poison control,Poisoning,ProblemsDim
medical poisoning,Poisoning,ProblemsDim
poisons information centre,Poisoning,ProblemsDim
poisoning,Poisoning,ProblemsDim
drug poisoning,Poisoning By Drugs,ProblemsDim
pharmaceutical poisoning,Poisoning By Drugs,ProblemsDim
medication overdose,Poisoning By Drugs,ProblemsDim
toxic drug intake,Poisoning By Drugs,ProblemsDim
drug toxicity,Poisoning By Drugs,ProblemsDim
pharmacological poisoning,Poisoning By Drugs,ProblemsDim
medication poisoning,Poisoning By Drugs,ProblemsDim
poisoning by drugs,Poisoning By Drugs,ProblemsDim
tbi,Trauma,ProblemsDim
ptsd,Trauma,ProblemsDim
fracture,Trauma,ProblemsDim
contusion,Trauma,ProblemsDim
laceration,Trauma,ProblemsDim
hematoma,Trauma,ProblemsDim
bruise,Trauma,ProblemsDim
concussion,Trauma,ProblemsDim
dislocation,Trauma,ProblemsDim
amputation,Trauma,ProblemsDim
sprain,Trauma,ProblemsDim
strain,Trauma,ProblemsDim
wound,Trauma,ProblemsDim
injury,Trauma,ProblemsDim
trauma,Trauma,ProblemsDim
tbi,"Trauma, Injury",ProblemsDim
fracture,"Trauma, Injury",ProblemsDim
laceration,"Trauma, Injury",ProblemsDim
contusion,"Trauma, Injury",ProblemsDim
hematoma,"Trauma, Injury",ProblemsDim
bruise,"Trauma, Injury",ProblemsDim
wound,"Trauma, Injury",ProblemsDim
injury,"Trauma, Injury",ProblemsDim
trauma,"Trauma, Injury",ProblemsDim
sprain,"Trauma, Injury",ProblemsDim
strain,"Trauma, Injury",ProblemsDim
dislocation,"Trauma, Injury",ProblemsDim
amputation,"Trauma, Injury",ProblemsDim
crush injury,"Trauma, Injury",ProblemsDim
burn,"Trauma, Injury",ProblemsDim
fracture dislocation,"Trauma, Injury",ProblemsDim
open wound,"Trauma, Injury",ProblemsDim
closed wound,"Trauma, Injury",ProblemsDim
internal injury,"Trauma, Injury",ProblemsDim
soft tissue injury,"Trauma, Injury",ProblemsDim
spinal cord injury,"Trauma, Injury",ProblemsDim
head injury,"Trauma, Injury",ProblemsDim
brain injury,"Trauma, Injury",ProblemsDim
"trauma, injury","Trauma, Injury",ProblemsDim
tls,Tumor Lysis Syndrome (Tls),ProblemsDim
tumour lysis syndrome,Tumor Lysis Syndrome (Tls),ProblemsDim
tumor lysis syndrome (tls),Tumor Lysis Syndrome (Tls),ProblemsDim
ab,Aggressive Behaviour,ProblemsDim
aggr behaviour,Aggressive Behaviour,ProblemsDim
aggression,Aggressive Behaviour,ProblemsDim
hostile behaviour,Aggressive Behaviour,ProblemsDim
violent behaviour,Aggressive Behaviour,ProblemsDim
physical aggression,Aggressive Behaviour,ProblemsDim
verbal aggression,Aggressive Behaviour,ProblemsDim
psychological aggression,Aggressive Behaviour,ProblemsDim
aggressive disorder,Aggressive Behaviour,ProblemsDim
intermittent explosive disorder,Aggressive Behaviour,ProblemsDim
oppositional defiant disorder,Aggressive Behaviour,ProblemsDim
conduct disorder,Aggressive Behaviour,ProblemsDim
antisocial personality disorder,Aggressive Behaviour,ProblemsDim
aggressive behaviour,Aggressive Behaviour,ProblemsDim
delirium agitation,Agitation,ProblemsDim
acute confusion agitation,Agitation,ProblemsDim
psychomotor agitation,Agitation,ProblemsDim
behavioral disturbance,Agitation,ProblemsDim
restlessness,Agitation,ProblemsDim
agitated state,Agitation,ProblemsDim
excitement,Agitation,ProblemsDim
hyperactivity,Agitation,ProblemsDim
anxiety agitation,Agitation,ProblemsDim
agitation,Agitation,ProblemsDim
an,Anorexia,ProblemsDim
anorexia nervosa,Anorexia,ProblemsDim
an-r,Anorexia,ProblemsDim
restricting type anorexia nervosa,Anorexia,ProblemsDim
bn,Anorexia,ProblemsDim
binge eating/purging type anorexia nervosa,Anorexia,ProblemsDim
anorexia,Anorexia,ProblemsDim
anorexia nervosa,Anorexia Bulimia,ProblemsDim
bulimia nervosa,Anorexia Bulimia,ProblemsDim
an,Anorexia Bulimia,ProblemsDim
bn,Anorexia Bulimia,ProblemsDim
eating disorder an/bn,Anorexia Bulimia,ProblemsDim
ed an/bn,Anorexia Bulimia,ProblemsDim
anorexia bulimia,Anorexia Bulimia,ProblemsDim
an,Anorexia Nervosa,ProblemsDim
anorexia,Anorexia Nervosa,ProblemsDim
anorexia mental disorder,Anorexia Nervosa,ProblemsDim
anorexia psychological disorder,Anorexia Nervosa,ProblemsDim
anorexia eating disorder,Anorexia Nervosa,ProblemsDim
anorexia nervosa,Anorexia Nervosa,ProblemsDim
gad,Anxiety,ProblemsDim
generalized anxiety disorder,Anxiety,ProblemsDim
panic disorder,Anxiety,ProblemsDim
pd,Anxiety,ProblemsDim
social anxiety disorder,Anxiety,ProblemsDim
sad,Anxiety,ProblemsDim
ocd,Anxiety,ProblemsDim
obsessive-compulsive disorder,Anxiety,ProblemsDim
ptsd,Anxiety,ProblemsDim
post traumatic stress disorder,Anxiety,ProblemsDim
anxiety,Anxiety,ProblemsDim
anorexia,Appetite Loss,ProblemsDim
loss of appetite,Appetite Loss,ProblemsDim
decreased hunger,Appetite Loss,ProblemsDim
aphagia,Appetite Loss,ProblemsDim
inappetence,Appetite Loss,ProblemsDim
appetite loss,Appetite Loss,ProblemsDim
add,Attention Deficit Disorder (ADD),ProblemsDim
adhd,Attention Deficit Disorder (ADD),ProblemsDim
attention deficit hyperactivity disorder,Attention Deficit Disorder (ADD),ProblemsDim
attention deficit disorder (add),Attention Deficit Disorder (ADD),ProblemsDim
adhd,Attention Deficit Hyperactivity Disorder,ProblemsDim
add,Attention Deficit Hyperactivity Disorder,ProblemsDim
attention deficit disorder,Attention Deficit Hyperactivity Disorder,ProblemsDim
hyperkinetic disorder,Attention Deficit Hyperactivity Disorder,ProblemsDim
attention deficit hyperactivity syndrome,Attention Deficit Hyperactivity Disorder,ProblemsDim
attention deficit hyperactivity disorder,Attention Deficit Hyperactivity Disorder,ProblemsDim
asd,Autism,ProblemsDim
autistic spectrum disorder,Autism,ProblemsDim
autism spectrum condition,Autism,ProblemsDim
autism spectrum syndrome,Autism,ProblemsDim
autism,Autism,ProblemsDim
autism spectrum disorder (asd),Autism And Related Disorder,ProblemsDim
attention deficit hyperactivity disorder (adhd),Autism And Related Disorder,ProblemsDim
asperger's syndrome,Autism And Related Disorder,ProblemsDim
rett syndrome,Autism And Related Disorder,ProblemsDim
tourette syndrome,Autism And Related Disorder,ProblemsDim
pervasive developmental disorder (pdd),Autism And Related Disorder,ProblemsDim
childhood disintegrative disorder (cdd),Autism And Related Disorder,ProblemsDim
autism and related disorder,Autism And Related Disorder,ProblemsDim
asd,Autism Spectrum Disorders (Asd),ProblemsDim
autism spectrum disorder,Autism Spectrum Disorders (Asd),ProblemsDim
autistic disorder,Autism Spectrum Disorders (Asd),ProblemsDim
pervasive developmental disorder - not otherwise specified (pdd-nos),Autism Spectrum Disorders (Asd),ProblemsDim
asperger's syndrome,Autism Spectrum Disorders (Asd),ProblemsDim
childhood disintegrative disorder,Autism Spectrum Disorders (Asd),ProblemsDim
rett syndrome,Autism Spectrum Disorders (Asd),ProblemsDim
autism spectrum disorders (asd),Autism Spectrum Disorders (Asd),ProblemsDim
mood disorder,Bipolar And Unipolar Depression,ProblemsDim
bipolar affective disorder,Bipolar And Unipolar Depression,ProblemsDim
unipolar depression,Bipolar And Unipolar Depression,ProblemsDim
manic depression,Bipolar And Unipolar Depression,ProblemsDim
depressive disorder,Bipolar And Unipolar Depression,ProblemsDim
affective disorder,Bipolar And Unipolar Depression,ProblemsDim
bipolar i disorder,Bipolar And Unipolar Depression,ProblemsDim
bipolar ii disorder,Bipolar And Unipolar Depression,ProblemsDim
bipolar and unipolar depression,Bipolar And Unipolar Depression,ProblemsDim
bd,Bipolar Disorder,ProblemsDim
manic-depressive illness,Bipolar Disorder,ProblemsDim
"mood disorder, bipolar i",Bipolar Disorder,ProblemsDim
"mood disorder, bipolar ii",Bipolar Disorder,ProblemsDim
bipolar affective disorder,Bipolar Disorder,ProblemsDim
bipolar depression,Bipolar Disorder,ProblemsDim
bipolar mania,Bipolar Disorder,ProblemsDim
bipolar disorder,Bipolar Disorder,ProblemsDim
bd,Bipolar Disorder/Unipolar Disorder,ProblemsDim
manic depression,Bipolar Disorder/Unipolar Disorder,ProblemsDim
major depressive disorder,Bipolar Disorder/Unipolar Disorder,ProblemsDim
unipolar affective disorder,Bipolar Disorder/Unipolar Disorder,ProblemsDim
bipolar affective disorder,Bipolar Disorder/Unipolar Disorder,ProblemsDim
bipolar disorder/unipolar disorder,Bipolar Disorder/Unipolar Disorder,ProblemsDim
bd,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
manic depression,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
major depressive disorder,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
mdd,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
unipolar depression,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
recurrent depressive disorder,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
rdd,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
bipolar disorder/unipolar disorder/depression,Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
bn,Bulimia Nervosa,ProblemsDim
eating disorder bn,Bulimia Nervosa,ProblemsDim
binge eating disorder,Bulimia Nervosa,ProblemsDim
recurrent eating disorder,Bulimia Nervosa,ProblemsDim
food intake and purging disorder,Bulimia Nervosa,ProblemsDim
bulimia nervosa,Bulimia Nervosa,ProblemsDim
cb,Catatonic Behaviour,ProblemsDim
catatonia,Catatonic Behaviour,ProblemsDim
catatonic state,Catatonic Behaviour,ProblemsDim
catatonic syndrome,Catatonic Behaviour,ProblemsDim
catatonic disorder,Catatonic Behaviour,ProblemsDim
catatonic psychosis,Catatonic Behaviour,ProblemsDim
catatonic schizophrenia,Catatonic Behaviour,ProblemsDim
catatonic depression,Catatonic Behaviour,ProblemsDim
catatonic behaviour,Catatonic Behaviour,ProblemsDim
dementia,Delirium And Other Psychoses,ProblemsDim
psychosis,Delirium And Other Psychoses,ProblemsDim
confusion,Delirium And Other Psychoses,ProblemsDim
hallucination,Delirium And Other Psychoses,ProblemsDim
delirium tremens,Delirium And Other Psychoses,ProblemsDim
schizophrenia,Delirium And Other Psychoses,ProblemsDim
bipolar disorder,Delirium And Other Psychoses,ProblemsDim
major depressive disorder,Delirium And Other Psychoses,ProblemsDim
mania,Delirium And Other Psychoses,ProblemsDim
catatonia,Delirium And Other Psychoses,ProblemsDim
delirium and other psychoses,Delirium And Other Psychoses,ProblemsDim
delusional disorder,Delusion,ProblemsDim
paranoid delusions,Delusion,ProblemsDim
hallucinatory delusions,Delusion,ProblemsDim
grandiose delusions,Delusion,ProblemsDim
persecutory delusions,Delusion,ProblemsDim
erotomanic delusions,Delusion,ProblemsDim
somatic delusions,Delusion,ProblemsDim
nihilistic delusions,Delusion,ProblemsDim
religious or spiritual delusions,Delusion,ProblemsDim
delusion,Delusion,ProblemsDim
dd,Delusional Disorder,ProblemsDim
delusional psychosis,Delusional Disorder,ProblemsDim
ddm,Delusional Disorder,ProblemsDim
delusional misidentification syndrome,Delusional Disorder,ProblemsDim
ddd,Delusional Disorder,ProblemsDim
"delusional disorder, dementia type",Delusional Disorder,ProblemsDim
ddp,Delusional Disorder,ProblemsDim
delusional parasitosis,Delusional Disorder,ProblemsDim
ddn,Delusional Disorder,ProblemsDim
"delusional disorder, nos",Delusional Disorder,ProblemsDim
delusional disorder,Delusional Disorder,ProblemsDim
alzheimer's disease,Dementia,ProblemsDim
vascular dementia,Dementia,ProblemsDim
lewy body dementia,Dementia,ProblemsDim
frontotemporal dementia,Dementia,ProblemsDim
mixed dementia,Dementia,ProblemsDim
creutzfeldt-jakob disease,Dementia,ProblemsDim
parkinson's disease dementia,Dementia,ProblemsDim
dementia with lewy bodies,Dementia,ProblemsDim
dementia,Dementia,ProblemsDim
d&a,Demoralization And Apathy,ProblemsDim
depression and apathy,Demoralization And Apathy,ProblemsDim
demotivation and lethargy,Demoralization And Apathy,ProblemsDim
mood disorder - demoralization and apathy,Demoralization And Apathy,ProblemsDim
psychological demoralization and apathy,Demoralization And Apathy,ProblemsDim
demoralization and apathy,Demoralization And Apathy,ProblemsDim
major depressive disorder (mdd),Depression,ProblemsDim
clinical depression,Depression,ProblemsDim
unipolar depression,Depression,ProblemsDim
major depressive episode,Depression,ProblemsDim
recurrent depressive disorder,Depression,ProblemsDim
dysthymia,Depression,ProblemsDim
minor depressive disorder,Depression,ProblemsDim
depression,Depression,ProblemsDim
major depressive disorder,"Depression, Dysthymia",ProblemsDim
dysthymic disorder,"Depression, Dysthymia",ProblemsDim
clinical depression,"Depression, Dysthymia",ProblemsDim
unipolar depression,"Depression, Dysthymia",ProblemsDim
recurrent depressive disorder,"Depression, Dysthymia",ProblemsDim
chronic depression,"Depression, Dysthymia",ProblemsDim
"depression, dysthymia","Depression, Dysthymia",ProblemsDim
paranoid depression,"Depression, Paranoid Disorder",ProblemsDim
pdd,"Depression, Paranoid Disorder",ProblemsDim
paranoid psychosis,"Depression, Paranoid Disorder",ProblemsDim
pp,"Depression, Paranoid Disorder",ProblemsDim
paranoid schizophrenia with depressive features,"Depression, Paranoid Disorder",ProblemsDim
psdf,"Depression, Paranoid Disorder",ProblemsDim
"depression, paranoid disorder","Depression, Paranoid Disorder",ProblemsDim
de,Diminished Emotions,ProblemsDim
dysphoria,Diminished Emotions,ProblemsDim
affective flatness,Diminished Emotions,ProblemsDim
emotional blunting,Diminished Emotions,ProblemsDim
anhedonia,Diminished Emotions,ProblemsDim
apathy,Diminished Emotions,ProblemsDim
asociality,Diminished Emotions,ProblemsDim
psychic numbing,Diminished Emotions,ProblemsDim
emotional dulling,Diminished Emotions,ProblemsDim
diminished emotions,Diminished Emotions,ProblemsDim
depressive disorder,Dysthymia,ProblemsDim
persistent depressive disorder,Dysthymia,ProblemsDim
chronic depression,Dysthymia,ProblemsDim
dysthymic disorder,Dysthymia,ProblemsDim
dysthymia,Dysthymia,ProblemsDim
dd,Dysthymic Disorder,ProblemsDim
persistent depressive disorder,Dysthymic Disorder,ProblemsDim
chronic depression,Dysthymic Disorder,ProblemsDim
depressive neurosis,Dysthymic Disorder,ProblemsDim
dysthymic disorder,Dysthymic Disorder,ProblemsDim
anorexia nervosa,Eating Disorder,ProblemsDim
bulimia nervosa,Eating Disorder,ProblemsDim
binge eating disorder,Eating Disorder,ProblemsDim
ednos,Eating Disorder,ProblemsDim
osfed,Eating Disorder,ProblemsDim
arfid,Eating Disorder,ProblemsDim
avoidant/restrictive food intake disorder,Eating Disorder,ProblemsDim
eating disorder,Eating Disorder,ProblemsDim
euphoric state,Euphoria,ProblemsDim
positive mood,Euphoria,ProblemsDim
happy state,Euphoria,ProblemsDim
exalted mood,Euphoria,ProblemsDim
elated state,Euphoria,ProblemsDim
